,name,code,hash
0,denied,<:denied:349276172062031872>,e49d76a955d576d3a3a740dd98fda39eac9e6c223e98add7128da19472600e49
1,giphy,<:giphy:436282549182922752>,cd48cb1fddfa5a30bebed1d5845c7c7baae57e88a3976926c5a8f30e90503aa1
2,sharkdance,<:sharkdance:436637491588628480>,e80a7badf39094ae24c6345f5ac90b3fc1cb536675d9244ceaf54815288249c4
3,approved,<:approved:525779863919919125>,2078718d48046fa88be3236ca24ae0c9ca53279ac091ffaba98e7c65cf1d67cc
4,mimpf,<:mimpf:677801937223155740>,564f0e7bcab16270ecce031404af82452a8d3674409b24cac69f06bf03a2ef04
5,schwinzlow,<:schwinzlow:677801974154002463>,b23ab625a7f3ae3f46a311f9fae03c2c3193279cb1d6238d60f59a04231056f7
6,bob,<:bob:677802051920592896>,05e2a25838a1d22cfb069aa3e90f6bd30892ddcd01bc4d9cda61982a1f8cf2d7
7,Sam,<:Sam:677802154379051008>,ff4b15073d9c05e53bb28fbabea65f993f3efd2deb4385ff193b3fde509f5db9
8,cyadd,<:cyadd:677802377016901632>,0abdb85fe518b93ae99f484e4be084af6b7f254186eabf49752771285af8756c
9,gregg,<:gregg:677802846602657812>,0c2a3fb2ce55ddfd55a79d21c03bcbb029bf5e3c9aeaa8c04232a2a8a7a1f654
10,Joe,<:Joe:677802929570316308>,19952d8fea5595e6584ab091f2fb2de4bd87dd4a3b77d923f15c999907d669b9
11,beter,<:beter:682666142342316037>,4a8ffdc95d3bbe61ad443110184ab31cb5ec920d4c8c0769966649e4bd221521
12,flag_uff,<:flag_uff:682666258998886444>,71f1ec8628212e136ef7ac9f79fde8fcaa76a7f99ed772d518a10c1f9e474583
13,skevin,<:skevin:682666359091626008>,6fb5e37135f5390f6c73b087d47337ba834ed7215b9a6af4434eaf4b98785a91
14,serious,<:serious:682666459645870088>,63862a36376577913120e86ed0323ef1f52d1e6c5ef7f5845f58ee160dfe4c5d
15,Max,<:Max:728173799375372299>,cc4d026b1c15512749d75c2904194d610ed8e7b33b3e0f1c378aa0761efc9940
16,Sammer,<:Sammer:740675316183203851>,3e2ea507e50218c50ea20034f86cfb57b525c729f9f5946784323e4e010033a3
17,maxxer,<:maxxer:740675339113463818>,2da91fa34127be90c442fe5b9c1579e156bcea678b3e8a937eedc3278643d4c1
18,mouney,<:mouney:740675377457922139>,209dd3951d7b2c4df7f2d5b588ce664ad17445e0678be60036c9147338e66302
19,hackerman,<:hackerman:740675404133695661>,bf072c182e11c27e602cee99946b4257dc2c1d8b9a0bcacce0ec0d2ef8164558
20,prechiate,<:prechiate:740675458693201932>,8f93a70195a32ec6514ea2dbfccaf09ee94fdcaf584a747df5a0e4460931edf2
21,phil,<:phil:740675502842445984>,17c9273e2cfdaf689cdc6d93e789ae00a0b47447d3d9aae755e5c122dd6d292c
22,papa,<:papa:740675534400520215>,7aee3619b29bc992f55e301369f8fe1e3199ebde4f10b0315a6f729366957a0b
23,general,<:general:740675565245169747>,4615ba15d4df19b260afef2d5cafa5cd3ce2e89f7beb1166578e2b1b05eca9ce
24,carlos,<:carlos:740675592256618567>,105023190820f2595e61036244afe158ed0d59f6f00a3eb169dbf45e37c18eee
25,pepe,<:pepe:740675630580105238>,a75428491a25b55707c57879b0b967536070736a46d86b513f5df505340526ee
26,nichilpepe,<:nichilpepe:740675657121398906>,52c49a0c39bbe174e12b776368feb5f6603c472d441bd1318b116814412705fb
27,cryingpepe,<:cryingpepe:740675675907686561>,1c462dff18d75e6ee05e0f809f1f98aaaedb9c145cbb9df5ba9d3454d0c171c2
28,guido,<:guido:740675707696447699>,c80ecb70735499958cd78b08a961cbf725bb49225bdd8b887fbb506506efdb73
29,depression,<:depression:740675741943070720>,0e89494b6c1b9dc0cbd4e969b2a0de1e2fa603701f02963d1ddf6223aa36b6c4
30,schooled,<:schooled:740675778118811749>,843e94a26342e461f7cdb0820d60e470eea1da8ad6de541032061dd47ee43b04
31,lindy,<:lindy:740675810901360690>,46bf75610ad04a08669d300acf205caf6f4cc227a318b8bcf4a2b5436286fa7a
32,vsauce,<:vsauce:740675844858708038>,52c6a67312dfcb8bd54159e54ead6316421136efa4095340ed3b03999a687a55
33,normie,<:normie:740675885287342080>,7b2b1cda0ba8f05ad62d975559c6941e00c48a465b6f8593c0cf99b054416f76
34,chldd,<:chldd:740675923464159312>,444809a3d649bd66eeaa7a55699d8e6fc86b289709cb5eb1c13cee9d97620532
35,whammer,<:whammer:740675965872767117>,bcb98cfd6958c570f9b8c52cd6e424563bd6d989bee4b133c4a3c1dd1d987893
36,ohno,<:ohno:740676000341295234>,e77440a6eee11c6e7822a6441391629715eabf63b2d79b4eee514a1c3793a1a2
37,nick,<:nick:740676037104369687>,35e996fc384336bee8a53b8f6f5f85615308da5a65ffb071fd3299c4acc2a22d
38,doggo,<:doggo:740676078955397210>,7c70f30d20558cac41d8a981d2209a0455d60df9d09c8283f3912b77f7c4b8e9
39,ohdd,<:ohdd:740676118008561706>,cff4c46a71bd1988fa73315faba471fcf014ed088ceb86cdcc2959ab1f00b9ad
40,baddy,<:baddy:740676200200142989>,5f9da4380de6cc324af7a82b2b4d3ae5539eac87a4c017a9f5958a034618de64
41,danky,<:danky:740676217958826144>,5b05dd100ea2f812e7a5759d8dcc89c85481f889b64b0a73b1acc1dd6ee910b7
42,goody,<:goody:740676236707102810>,ddb3ba18e0bb10606a6d8877081fa9a3ec889a9aefa59a5cfec0d7132393e6f6
43,pope,<:pope:740676289576304680>,933feed02f1a62115e4d4ba462e38a7f6129e89d5a8ad60b3df413353820adc1
44,jerma,<:jerma:740676337420861531>,7b2f206dafc2b5fd43821b05a3e207add8de5a9c0b6acb489cb08503b40131ed
45,robbie,<:robbie:740676376796987594>,0bfa6e1715da707859efd39527884b0b34a7d77700578757f80ac0176a3c1b2c
46,ironic,<:ironic:740676412301639741>,498299910ac9dd4ef0466496327e4e595e8f963cb4cbb41dceea86499f6a8d5c
47,gobbo,<:gobbo:740676450763669594>,7d59834298a519ef8a395dedee64ce9e05e073955c5c0f148828b54f849a4fa2
48,imgay,<:imgay:740676468824211536>,cd449f48b038715a3766d54d0324a97fbbc1272186923b98689cee73bec8bdcb
49,triggered,<:triggered:740676515070738492>,c9c0b780031519257923391197685d3b4f9b522444afa936d1a0c94c702dc748
50,chlddpapa,<:chlddpapa:740676529939415051>,8ef65ef9fc82d0dd301bbab9b2f5fc27f7e3aa9c6f53d9af70e78fd052c685f2
51,prettygood,<:prettygood:740676581806178394>,8ed02297eff699b5d5ac650ffa5c34c4a62b6ec7c47f5a37fb67ad2f861be0ed
